dimensions;nr_of_agents;init_move;move;runtime
1;1;0;0;0.0010018348693847656
2;8;12;12;0.0009996891021728516
3;18;45;54;0.003000020980834961
4;32;112;144;0.012002944946289062
5;50;225;300;0.03200697898864746
6;72;396;540;0.08201837539672852
7;98;637;882;0.20304536819458008
8;128;960;1344;0.43509864807128906
9;162;1377;1944;0.8882012367248535
10;200;1900;2700;1.707385540008545
11;242;2541;3630;3.1507115364074707
12;288;3312;4752;5.5762975215911865
13;338;4225;6084;9.289097547531128
14;392;5292;7644;15.413481950759888
15;450;6525;9450;23.90440011024475
16;512;7936;11520;37.191407442092896
17;578;9537;13872;55.38251090049744
18;648;11340;16524;81.31437420845032
19;722;13357;19494;117.11379551887512
20;800;15600;22800;168.18873357772827
dimensions;nr_of_agents;init_move;move;runtime
1;1;0;1;0.0
2;8;12;16;0.0010006427764892578
3;12;24;54;0.002000093460083008
4;16;40;96;0.005000591278076172
5;20;60;200;0.012003183364868164
6;24;84;288;0.02100515365600586
7;28;112;490;0.043009281158447266
8;32;144;640;0.07501792907714844
9;36;180;972;0.14103102684020996
10;40;220;1200;0.21704912185668945
11;44;264;1694;0.38608646392822266
12;48;312;2016;0.5631275177001953
13;52;364;2704;0.8912010192871094
14;56;420;3136;1.2919590473175049
15;60;480;4050;1.9499547481536865
16;64;544;4608;2.6670849323272705
17;68;612;5780;3.9262640476226807
18;72;684;6480;5.113271236419678
19;76;760;7942;7.379683256149292
20;80;840;8800;9.504273891448975
dimensions;nr_of_agents;init_move;move;runtime
1;1;0;0;0.0
2;8;12;20;0.0020003318786621094
3;8;12;64;0.002001523971557617
4;8;12;132;0.0060007572174072266
5;8;12;284;0.013002634048461914
6;8;12;436;0.024005651473999023
7;8;12;760;0.05901384353637695
8;8;12;1028;0.10802364349365234
9;8;12;1588;0.2340528964996338
10;8;12;2004;0.3540797233581543
11;8;12;2864;0.7691783905029297
12;8;12;3460;0.9807264804840088
13;8;12;4684;1.6773805618286133
14;8;12;5492;2.425558567047119
15;8;12;7144;3.945000171661377
16;8;12;8196;5.371330499649048
17;8;12;10340;8.110350131988525
18;8;12;11668;10.966756343841553
19;8;12;14368;15.526979446411133
20;8;12;16004;20.338457107543945
dimensions;nr_of_agents;init_move;move;runtime
1;1;0;1;0.0
2;4;4;12;0.0010004043579101562
3;4;4;34;0.0020003318786621094
4;4;4;68;0.0030012130737304688
5;4;4;144;0.008003711700439453
6;4;4;220;0.016003131866455078
7;4;4;382;0.0380096435546875
8;4;4;516;0.0650167465209961
9;4;4;796;0.1400313377380371
10;4;4;1004;0.23806023597717285
11;4;4;1434;0.432098388671875
12;4;4;1732;0.6477580070495605
13;4;4;2344;1.1252532005310059
14;4;4;2748;1.6173450946807861
15;4;4;3574;2.592617988586426
16;4;4;4100;3.579681396484375
17;4;4;5172;5.354902029037476
18;4;4;5836;7.153996467590332
19;4;4;7186;10.345340490341187
20;4;4;8004;13.423800230026245
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
